[2023-08-09 16:04:27,415] INFO [GroupMetadataManager brokerId=0] Removed 0 expired offsets in 0 milliseconds. (kafka.coordinator.group.GroupMetadataManager)
[2023-08-09 16:14:27,403] INFO [GroupMetadataManager brokerId=0] Removed 0 expired offsets in 0 milliseconds. (kafka.coordinator.group.GroupMetadataManager)
[2023-08-09 16:15:35,269] INFO Terminating process due to signal SIGTERM (org.apache.kafka.common.utils.LoggingSignalHandler)
[2023-08-09 16:15:35,271] INFO [KafkaServer id=0] shutting down (kafka.server.KafkaServer)
[2023-08-09 16:15:35,271] INFO [KafkaServer id=0] Starting controlled shutdown (kafka.server.KafkaServer)
[2023-08-09 16:15:35,283] INFO [KafkaServer id=0] Controlled shutdown succeeded (kafka.server.KafkaServer)
[2023-08-09 16:15:35,286] INFO [/config/changes-event-process-thread]: Shutting down (kafka.common.ZkNodeChangeNotificationListener$ChangeEventProcessThread)
[2023-08-09 16:15:35,286] INFO [/config/changes-event-process-thread]: Stopped (kafka.common.ZkNodeChangeNotificationListener$ChangeEventProcessThread)
[2023-08-09 16:15:35,286] INFO [/config/changes-event-process-thread]: Shutdown completed (kafka.common.ZkNodeChangeNotificationListener$ChangeEventProcessThread)
[2023-08-09 16:15:35,286] INFO [SocketServer brokerId=0] Stopping socket server request processors (kafka.network.SocketServer)
[2023-08-09 16:15:35,290] INFO [SocketServer brokerId=0] Stopped socket server request processors (kafka.network.SocketServer)
[2023-08-09 16:15:35,290] INFO [data-plane Kafka Request Handler on Broker 0], shutting down (kafka.server.KafkaRequestHandlerPool)
[2023-08-09 16:15:35,291] INFO [data-plane Kafka Request Handler on Broker 0], shut down completely (kafka.server.KafkaRequestHandlerPool)
[2023-08-09 16:15:35,292] INFO [ExpirationReaper-0-AlterAcls]: Shutting down (kafka.server.DelayedOperationPurgatory$ExpiredOperationReaper)
[2023-08-09 16:15:35,350] INFO [ExpirationReaper-0-AlterAcls]: Stopped (kafka.server.DelayedOperationPurgatory$ExpiredOperationReaper)
[2023-08-09 16:15:35,350] INFO [ExpirationReaper-0-AlterAcls]: Shutdown completed (kafka.server.DelayedOperationPurgatory$ExpiredOperationReaper)
[2023-08-09 16:15:35,350] INFO [KafkaApi-0] Shutdown complete. (kafka.server.KafkaApis)
[2023-08-09 16:15:35,350] INFO [ExpirationReaper-0-topic]: Shutting down (kafka.server.DelayedOperationPurgatory$ExpiredOperationReaper)
[2023-08-09 16:15:35,420] INFO [ExpirationReaper-0-topic]: Stopped (kafka.server.DelayedOperationPurgatory$ExpiredOperationReaper)
[2023-08-09 16:15:35,420] INFO [ExpirationReaper-0-topic]: Shutdown completed (kafka.server.DelayedOperationPurgatory$ExpiredOperationReaper)
[2023-08-09 16:15:35,420] INFO [TransactionCoordinator id=0] Shutting down. (kafka.coordinator.transaction.TransactionCoordinator)
[2023-08-09 16:15:35,421] INFO [ProducerId Manager 0]: Shutdown complete: last producerId assigned 0 (kafka.coordinator.transaction.ProducerIdManager)
[2023-08-09 16:15:35,421] INFO [Transaction State Manager 0]: Shutdown complete (kafka.coordinator.transaction.TransactionStateManager)
[2023-08-09 16:15:35,421] INFO [Transaction Marker Channel Manager 0]: Shutting down (kafka.coordinator.transaction.TransactionMarkerChannelManager)
[2023-08-09 16:15:35,421] INFO [Transaction Marker Channel Manager 0]: Stopped (kafka.coordinator.transaction.TransactionMarkerChannelManager)
[2023-08-09 16:15:35,421] INFO [Transaction Marker Channel Manager 0]: Shutdown completed (kafka.coordinator.transaction.TransactionMarkerChannelManager)
[2023-08-09 16:15:35,421] INFO [TransactionCoordinator id=0] Shutdown complete. (kafka.coordinator.transaction.TransactionCoordinator)
[2023-08-09 16:15:35,421] INFO [GroupCoordinator 0]: Shutting down. (kafka.coordinator.group.GroupCoordinator)
